Material 1 ;Material 2;Dry_min_filet;Dry_max_filet;Dry_min_tete;Dry_max_tete;Lubricated_min_filet;Lubricated_min_tete;Lubricated_max_filet;Lubricated_max_tete
Acier;Acier;0.14;0.24;0.12;0.18;0.08;0.12;0.06;0.10
Inox;Inox;0.20;0.35;0.20;0.35;0.10;0.20;0.10;0.20
Acier;Inox;0.20;0.30;0.14;0.24;0.10;0.15;0.08;0.16
Inox;Acier;0.20;0.30;0.14;0.24;0.10;0.15;0.08;0.16
Aluminium;Inox;0.30;0.40;0.30;0.40;0.08;0.16;0.08;0.16
Inox;Aluminium;0.30;0.40;0.30;0.40;0.08;0.16;0.08;0.16
Cuivre;Inox;0.20;0.35;0.20;0.35;0.08;0.16;0.08;0.16
Inox;Cuivre;0.20;0.35;0.20;0.35;0.08;0.16;0.08;0.16
Bronze;Inox;0.14;0.24;0.14;0.24;0.08;0.16;0.08;0.16
Inox;Bronze;0.14;0.24;0.14;0.24;0.08;0.16;0.08;0.16
Bronze;Acier;0.12;0.20;0.14;0.24;0.08;0.16;0.08;0.16
Acier;Bronze;0.12;0.20;0.14;0.24;0.08;0.16;0.08;0.16
Bronze;Bronze;0.14;0.24;0.14;0.24;0.08;0.16;0.08;0.16
Acier;Aluminium;0.30;0.40;0.30;0.40;0.08;0.16;0.08;0.16
Aluminium;Acier;0.30;0.40;0.30;0.40;0.08;0.16;0.08;0.16
Aluminium;Aluminium;0.30;0.45;0.30;0.45;0.08;0.16;0.08;0.16
Cuivre;Cuivre;0.14;0.24;0.14;0.24;0.08;0.16;0.08;0.16
Bronze;Cuivre;0.14;0.24;0.14;0.24;0.08;0.16;0.08;0.16
Cuivre;Bronze;0.14;0.24;0.14;0.24;0.08;0.16;0.08;0.16
Aluminium;Cuivre;0.20;0.35;0.20;0.35;0.08;0.16;0.08;0.16
Cuivre;Aluminium;0.20;0.35;0.20;0.35;0.08;0.16;0.08;0.16
Acier;Titane;0.30;0.45;0.35;0.55;0.15;0.25;0.20;0.30
Titane;Acier;0.30;0.45;0.35;0.55;0.15;0.25;0.20;0.30
Aluminium;Titane;0.30;0.50;0.35;0.55;0.15;0.30;0.20;0.35
Titane;Aluminium;0.30;0.50;0.35;0.55;0.15;0.30;0.20;0.35
Bronze;Titane;0.25;0.40;0.30;0.50;0.12;0.22;0.18;0.30
Titane;Bronze;0.25;0.40;0.30;0.50;0.12;0.22;0.18;0.30
Cuivre;Titane;0.30;0.45;0.35;0.55;0.15;0.25;0.20;0.30
Titane;Cuivre;0.30;0.45;0.35;0.55;0.15;0.25;0.20;0.30
Titane;Titane;0.40;0.60;0.45;0.65;0.10;0.25;0.12;0.30
Aluminium;Bronze;0.20;0.35;0.20;0.35;0.08;0.16;0.08;0.16
Bronze;Aluminium;0.20;0.35;0.20;0.35;0.08;0.16;0.08;0.16
Acier;Nylon;0.15;0.30;0.10;0.25;0.08;0.15;0.05;0.12
Nylon;Acier;0.15;0.30;0.10;0.25;0.08;0.15;0.05;0.12
Inox;Nylon;0.20;0.35;0.15;0.30;0.10;0.18;0.06;0.14
Nylon;Inox;0.20;0.35;0.15;0.30;0.10;0.18;0.06;0.14
Aluminium;Nylon;0.25;0.40;0.20;0.35;0.10;0.18;0.06;0.14
Nylon;Aluminium;0.25;0.40;0.20;0.35;0.10;0.18;0.06;0.14
Bronze;Nylon;0.20;0.35;0.15;0.30;0.08;0.15;0.05;0.12
Nylon;Bronze;0.20;0.35;0.15;0.30;0.08;0.15;0.05;0.12
Cuivre;Nylon;0.25;0.40;0.20;0.35;0.10;0.18;0.06;0.14
Nylon;Cuivre;0.25;0.40;0.20;0.35;0.10;0.18;0.06;0.14
Titane;Nylon;0.30;0.45;0.25;0.40;0.12;0.20;0.08;0.16
Nylon;Titane;0.30;0.45;0.25;0.40;0.12;0.20;0.08;0.16
Nylon;Nylon;0.25;0.40;0.25;0.40;0.10;0.18;0.08;0.16
Acier;PTFE;0.03;0.08;0.03;0.08;0.03;0.06;0.03;0.06
PTFE;Acier;0.03;0.08;0.03;0.08;0.03;0.06;0.03;0.06
Inox;PTFE;0.04;0.09;0.04;0.09;0.03;0.06;0.03;0.06
PTFE;Inox;0.04;0.09;0.04;0.09;0.03;0.06;0.03;0.06
Aluminium;PTFE;0.05;0.10;0.05;0.10;0.03;0.06;0.03;0.06
PTFE;Aluminium;0.05;0.10;0.05;0.10;0.03;0.06;0.03;0.06
Bronze;PTFE;0.04;0.09;0.04;0.09;0.03;0.06;0.03;0.06
PTFE;Bronze;0.04;0.09;0.04;0.09;0.03;0.06;0.03;0.06
Cuivre;PTFE;0.05;0.10;0.05;0.10;0.03;0.06;0.03;0.06
PTFE;Cuivre;0.05;0.10;0.05;0.10;0.03;0.06;0.03;0.06
Titane;PTFE;0.06;0.12;0.06;0.12;0.03;0.07;0.03;0.07
PTFE;Titane;0.06;0.12;0.06;0.12;0.03;0.07;0.03;0.07
Nylon;PTFE;0.08;0.15;0.08;0.15;0.04;0.08;0.04;0.08
PTFE;Nylon;0.08;0.15;0.08;0.15;0.04;0.08;0.04;0.08
PTFE;PTFE;0.05;0.10;0.05;0.10;0.03;0.06;0.03;0.06
