Diametre nominale;Hexagonale;CHC cylindrique;CHC tete fraisee;CHC tete bombee;Tete bombee fendue;Tete bombee philips;Tete bombee Pozidriv;Tete bombee Torx interne
1;3.2;1.8;2.0;-;3.2;3.2;-;-
2;4.0;3.8;4.0;-;4.0;4.0;4.0;-
3;5.5;5.5;6.0;5.7;6.0;6.0;6.0;6.0
4;7.0;7.0;8.0;7.6;8.0;8.0;8.0;8.0
5;8.0;8.5;9.5;9.5;10.0;9.0;9.0;9.5
6;10.0;10.0;11.0;10.5;12.0;11.0;11.0;10.5
7;-;-;-;-;-;-;-;-
8;13.0;13.0;15.0;14.0;16.0;14.0;14.0;14.0
9;-;-;-;-;-;-;-;-
10;16.0;16.0;18.5;17.5;20.0;-;20.0;17.5
12;18.0;18.00;22.0;21.0;-;-;-;21.0
14;21.0;21.00;25.0;-;-;-;-;-
16;24.0;24.00;29.0;28.0;-;-;-;-
18;27.0;27.00;-;-;-;-;-;-
20;30.0;30.00;36.0;-;-;-;-;-
22;34.0;33.00;-;-;-;-;-;-
24;36.0;36.00;44.0;-;-;-;-;-
27;41.0;40.00;-;-;-;-;-;-
30;46.0;45.00;-;-;-;-;-;-
33;50.0;50.00;-;-;-;-;-;-
36;55.0;54.00;-;-;-;-;-;-
39;60.0;-;-;-;-;-;-;-
42;65.0;63.00;-;-;-;-;-;-
45;70.0;-;-;-;-;-;-;-
48;75.0;72.00;-;-;-;-;-;-
52;80.0;-;-;-;-;-;-;-
56;85.0;84.00;-;-;-;-;-;-
60;90.0;-;-;-;-;-;-;-
64;95.0;96.00;-;-;-;-;-;-
68;100.0;-;-;-;-;-;-;-
72;105.0;108.00;-;-;-;-;-;-
76;110.0;-;-;-;-;-;-;-
80;115.0;120.00;-;-;-;-;-;-
85;120.0;-;-;-;-;-;-;-
90;130.0;135.00;-;-;-;-;-;-
95;135.0;-;-;-;-;-;-;-
